client_id,country,country_risk,is_pep,sector,transaction_volume,account_age_years,nb_transactions_30d,avg_transaction_amount,nb_countries_involved,cash_ratio,adverse_media_score,beneficial_owner_complexity,source_of_wealth_verified,risk_label
CLT0104,Norway,Low,0,Mining,66315.63,18,21,263.16,14,0.302,0,1,1,0
CLT0105,Japan,Low,1,Finance,44064.92,18,92,39.91,7,0.185,0,1,1,0
CLT0106,Japan,Low,0,Technology,297742.61,11,70,354.46,12,0.166,1,2,1,1
CLT0107,Russia,High,0,Real Estate,565589.11,18,84,561.1,2,0.234,0,0,1,1
CLT0108,Australia,Low,0,Mining,121663.08,23,60,168.98,2,0.103,0,0,0,0
CLT0109,Iran,High,0,Retail,131886.76,3,36,305.29,8,0.373,0,0,1,1
CLT0110,Iran,High,0,Real Estate,37296.96,13,77,40.36,13,0.247,2,0,1,2
CLT0111,UK,Low,0,Technology,59434.07,14,11,450.26,13,0.656,0,1,1,1
CLT0112,Nigeria,High,0,Technology,111018.28,27,88,105.13,9,0.164,0,2,0,1
CLT0113,Mexico,Medium,0,Finance,37230.84,4,83,37.38,5,0.541,0,2,1,1
CLT0114,Japan,Low,0,Legal,161340.25,18,87,154.54,7,0.738,0,0,1,0
CLT0115,British Virgin Islands,High,1,Mining,12280.11,5,31,33.01,13,0.344,0,1,1,2
CLT0116,Australia,Low,0,Technology,19964.21,14,37,44.96,12,0.233,0,0,1,0
CLT0117,Iran,High,0,Technology,12451.92,25,60,17.29,9,0.269,0,0,1,0
CLT0118,Netherlands,Low,0,Retail,21961.95,12,61,30.0,14,0.433,0,0,1,0
CLT0119,South Africa,Medium,0,Trading,38912.61,25,67,48.4,1,0.326,0,0,0,1
CLT0120,Cayman Islands,High,0,Trading,280305.88,7,98,238.36,8,0.086,0,0,1,1
CLT0121,Germany,Low,0,Technology,63713.28,12,29,183.08,10,0.11,0,0,0,0
CLT0122,Luxembourg,Low,0,Real Estate,8721.43,8,67,10.85,10,0.6,1,1,1,1
CLT0123,Cayman Islands,High,1,Retail,7310.44,29,79,7.71,9,0.053,0,1,1,1
CLT0124,Cayman Islands,High,0,Real Estate,32080.5,30,71,37.65,9,0.166,0,1,1,2
CLT0125,Brazil,Medium,0,Construction,209316.25,21,67,260.34,10,0.551,0,0,1,1
CLT0126,Nigeria,High,0,Legal,491130.63,21,16,2557.97,7,0.289,0,1,0,2
CLT0127,Austria,Low,0,Trading,5507.43,28,45,10.2,12,0.561,1,1,1,1
CLT0128,Cayman Islands,High,0,Trading,104665.9,3,34,256.53,12,0.355,2,0,0,2
CLT0129,Saudi Arabia,Medium,0,Retail,32767.46,22,84,32.51,12,0.19,0,1,0,1
CLT0130,North Korea,High,0,Healthcare,36815.3,1,44,69.73,12,0.269,0,1,0,2
CLT0131,Switzerland,Low,0,Real Estate,12132.43,3,97,10.42,10,0.089,0,1,1,1
CLT0132,Panama,High,0,Mining,43040.86,11,78,45.98,3,0.324,0,0,1,1
CLT0133,Australia,Low,0,Retail,11341.58,18,42,22.5,13,0.333,1,0,1,0
CLT0134,France,Low,1,Finance,40183.98,7,35,95.68,13,0.014,0,0,1,1
CLT0135,Luxembourg,Low,0,Healthcare,335167.86,9,75,372.41,5,0.106,0,2,1,0
CLT0136,Sweden,Low,0,Energy,154331.21,4,84,153.11,13,0.049,1,1,1,2
CLT0137,Panama,High,0,Real Estate,1056664.09,23,30,2935.18,2,0.406,2,0,1,2
CLT0138,Norway,Low,0,Healthcare,131865.25,24,53,207.34,11,0.495,2,1,1,1
CLT0139,North Korea,High,0,Retail,77790.7,10,58,111.77,10,0.122,0,0,1,1
CLT0140,Turkey,Medium,0,Mining,137220.36,18,28,408.39,3,0.009,0,0,0,0
CLT0141,Japan,Low,0,Finance,18700.45,23,15,103.89,10,0.366,0,1,0,0
CLT0142,Iran,High,0,Legal,2620.07,16,38,5.75,7,0.301,0,0,1,0
CLT0143,Iran,High,0,Healthcare,197650.72,29,50,329.42,1,0.47,0,0,1,0
CLT0144,Turkey,Medium,0,Legal,4052.16,12,13,25.98,3,0.213,2,0,1,1
CLT0145,Canada,Low,1,Technology,322030.51,19,35,766.74,5,0.285,0,0,1,0
CLT0146,Germany,Low,0,Trading,184650.59,24,24,641.15,11,0.121,0,1,1,0
CLT0147,France,Low,0,Construction,16742.71,22,65,21.47,14,0.541,1,1,1,1
CLT0148,China,Medium,0,Trading,31128.08,3,88,29.48,4,0.529,0,1,1,1
CLT0149,Germany,Low,0,Energy,58846.76,8,91,53.89,3,0.566,0,0,1,0
CLT0150,Germany,Low,0,Mining,15014.07,27,18,69.51,6,0.223,0,1,0,1
CLT0151,Cayman Islands,High,0,Finance,134696.62,29,58,193.53,12,0.304,1,0,1,2
CLT0152,Mexico,Medium,0,Legal,153737.93,19,26,492.75,6,0.039,3,0,1,2
CLT0153,Iran,High,0,Retail,6874.39,9,29,19.75,4,0.193,1,0,1,1
CLT0154,North Korea,High,0,Legal,17419.34,27,72,20.16,9,0.107,1,0,1,1
CLT0155,Switzerland,Low,0,Mining,56658.07,19,44,107.31,11,0.301,0,0,1,0
CLT0156,Hong Kong,Medium,1,Retail,331330.12,17,90,306.79,6,0.395,0,0,1,1
CLT0157,Germany,Low,0,Retail,159281.36,13,5,2654.69,9,0.373,1,1,0,1
CLT0158,Russia,High,1,Energy,1814.6,2,33,4.58,13,0.346,2,0,1,2
CLT0159,Iran,High,0,Mining,38638.66,4,5,643.98,11,0.348,0,0,0,2
CLT0160,Luxembourg,Low,0,Healthcare,121663.03,29,36,281.63,10,0.369,0,0,0,0
CLT0161,Iran,High,1,Trading,18034.83,11,77,19.52,10,0.304,0,0,1,2
CLT0162,UK,Low,0,Technology,16056.7,2,81,16.52,2,0.189,3,0,1,0
CLT0163,Austria,Low,1,Legal,19527.28,4,13,125.17,6,0.108,0,2,1,1
CLT0164,China,Medium,0,Healthcare,37723.34,4,25,125.74,14,0.351,1,0,1,1
CLT0165,Turkey,Medium,0,Technology,13785.32,20,58,19.81,4,0.084,1,2,1,0
CLT0166,USA,Low,1,Finance,161118.53,1,2,6713.27,2,0.37,1,0,0,2
CLT0167,Myanmar,High,0,Construction,16464.27,25,88,15.59,5,0.487,0,0,1,1
CLT0168,Luxembourg,Low,1,Legal,12654.42,26,36,29.29,14,0.166,2,1,1,2
CLT0169,South Africa,Medium,1,Energy,32924.16,11,25,109.75,3,0.343,0,1,1,1
CLT0170,Austria,Low,0,Technology,550385.84,23,34,1348.98,6,0.517,0,0,1,0
CLT0171,Singapore,Medium,0,Retail,131652.32,2,12,914.25,11,0.055,0,0,0,1
CLT0172,North Korea,High,0,Healthcare,144827.08,19,19,635.21,14,0.172,0,1,1,1
CLT0173,Norway,Low,0,Trading,91984.64,29,94,81.55,8,0.139,0,2,1,1
CLT0174,Luxembourg,Low,0,Energy,14465.6,8,37,32.58,4,0.216,0,2,1,0
CLT0175,Singapore,Medium,0,Legal,22923.12,23,1,1910.26,12,0.365,1,1,1,1
CLT0176,British Virgin Islands,High,0,Mining,17765.37,20,60,24.67,4,0.435,0,1,0,1
CLT0177,France,Low,0,Healthcare,307841.4,4,67,382.89,5,0.05,1,1,0,1
CLT0178,Brazil,Medium,1,Energy,93246.81,25,49,158.58,6,0.266,0,1,1,1
CLT0179,Hong Kong,Medium,0,Construction,4910.06,16,90,4.55,11,0.05,0,2,0,2
CLT0180,Russia,High,0,Legal,529124.81,15,79,558.15,7,0.64,0,1,0,2
CLT0181,France,Low,0,Finance,36390.86,5,46,65.93,6,0.636,0,1,0,1
CLT0182,Hong Kong,Medium,0,Trading,159542.72,30,48,276.98,7,0.214,0,0,1,0
CLT0183,Brazil,Medium,0,Finance,290252.62,29,92,262.91,9,0.076,0,0,1,0
CLT0184,Iran,High,0,Technology,1282.92,27,68,1.57,4,0.196,0,1,1,0
CLT0185,Netherlands,Low,1,Mining,118408.59,5,19,519.34,10,0.065,0,0,0,2
CLT0186,North Korea,High,0,Technology,40992.15,15,88,38.82,1,0.296,0,0,1,0
CLT0187,UAE,Medium,0,Trading,1583.13,23,40,3.3,9,0.274,0,0,1,1
CLT0188,Switzerland,Low,0,Healthcare,10951.26,17,6,152.1,7,0.414,2,2,1,1
CLT0189,Austria,Low,1,Technology,30275.29,3,80,31.54,4,0.165,0,1,1,1
CLT0190,Cayman Islands,High,0,Mining,212878.54,18,96,184.79,10,0.158,0,0,1,1
CLT0191,Saudi Arabia,Medium,0,Real Estate,45965.35,11,94,40.75,8,0.163,0,0,0,1
CLT0192,Mexico,Medium,0,Real Estate,74770.74,26,63,98.9,12,0.15,1,1,1,2
CLT0193,Afghanistan,High,0,Energy,35094.77,6,35,83.56,7,0.303,0,0,1,1
CLT0194,Nigeria,High,0,Energy,306157.95,27,72,354.35,12,0.38,0,0,1,1
CLT0195,Venezuela,High,0,Legal,130815.96,12,61,178.71,2,0.362,0,2,1,1
CLT0196,Netherlands,Low,1,Energy,76441.67,22,5,1274.03,1,0.464,0,1,1,0
CLT0197,Singapore,Medium,0,Construction,10778.41,26,37,24.28,9,0.327,0,1,1,0
CLT0198,Russia,High,0,Energy,71665.1,17,76,78.58,7,0.222,0,1,1,1
CLT0199,Germany,Low,0,Construction,3885676.69,30,89,3638.27,14,0.574,3,0,1,2
CLT0200,Switzerland,Low,0,Energy,197382.93,14,97,169.57,10,0.36,0,0,1,0
CLT0201,Canada,Low,0,Finance,19751.52,6,88,18.7,1,0.065,0,0,1,0
CLT0202,USA,Low,0,Retail,963848.92,10,11,7301.89,13,0.481,0,2,1,1
CLT0203,Iran,High,0,Construction,18488.6,16,99,15.56,4,0.077,1,0,1,1
CLT0204,Norway,Low,0,Healthcare,174810.19,18,40,364.19,5,0.155,0,1,0,0
CLT0205,Venezuela,High,0,Legal,55865.39,27,65,71.62,5,0.432,0,0,1,0
CLT0206,Hong Kong,Medium,0,Trading,78683.88,20,8,819.62,14,0.234,0,1,0,2
CLT0207,Singapore,Medium,0,Construction,83136.95,6,87,79.63,14,0.128,0,1,0,2
CLT0208,France,Low,0,Technology,41301.22,19,84,40.97,14,0.191,3,0,0,2
CLT0209,Brazil,Medium,0,Retail,33389.29,3,96,28.98,5,0.456,0,0,1,0
CLT0210,Turkey,Medium,1,Finance,8306.13,12,11,62.93,11,0.154,0,0,1,1
CLT0211,North Korea,High,0,Real Estate,11075.29,16,71,13.0,3,0.19,0,0,0,1
CLT0212,Turkey,Medium,0,Finance,98809.16,3,58,141.97,5,0.694,1,2,1,2
CLT0213,Austria,Low,1,Energy,21502.59,16,94,19.06,4,0.232,0,0,1,0
CLT0214,Sweden,Low,1,Legal,15290.47,4,48,26.55,5,0.159,0,0,0,1
CLT0215,Brazil,Medium,0,Retail,4159834.51,25,13,26665.61,7,0.648,0,1,0,2
CLT0216,Venezuela,High,0,Technology,2505548.27,20,60,3479.93,5,0.362,0,2,0,1
CLT0217,Saudi Arabia,Medium,0,Construction,143091.01,13,49,243.35,14,0.507,0,1,1,2
CLT0218,Venezuela,High,0,Finance,176710.42,4,67,219.79,14,0.241,0,1,1,2
CLT0219,Saudi Arabia,Medium,0,Retail,17700.98,4,7,210.73,14,0.34,0,0,1,0
CLT0220,British Virgin Islands,High,0,Construction,10118.68,7,77,10.95,8,0.582,0,0,0,1
CLT0221,UAE,Medium,0,Legal,35936.05,21,25,119.79,8,0.464,1,0,1,0
CLT0222,UAE,Medium,0,Trading,59900.78,12,23,217.03,3,0.368,0,0,1,0
CLT0223,Germany,Low,0,Real Estate,174488.89,2,51,285.11,5,0.187,2,0,1,1
CLT0224,Venezuela,High,0,Legal,3844.87,16,47,6.82,12,0.267,0,0,0,1
CLT0225,Singapore,Medium,0,Energy,1499842.64,7,97,1288.52,4,0.386,0,0,1,0
CLT0226,North Korea,High,0,Mining,86858.62,19,5,1447.64,14,0.188,0,0,1,2
CLT0227,UK,Low,0,Trading,5848.58,11,96,5.08,14,0.183,0,0,1,0
CLT0228,North Korea,High,0,Energy,75827.19,1,94,67.22,5,0.437,0,2,1,2
CLT0229,New Zealand,Low,0,Finance,15464.83,9,95,13.57,8,0.435,0,2,1,1
CLT0230,India,Medium,1,Trading,13921.5,5,13,89.24,4,0.258,2,0,1,2
CLT0231,Brazil,Medium,0,Energy,12165.96,26,42,24.14,5,0.148,0,0,1,0
CLT0232,Sweden,Low,0,Trading,40752.44,17,5,679.21,7,0.521,0,1,1,1
CLT0233,Netherlands,Low,1,Legal,1402930.1,27,23,5083.08,3,0.347,1,0,0,2
CLT0234,France,Low,0,Retail,68802.68,1,62,92.48,13,0.143,0,2,1,1
CLT0235,China,Medium,0,Real Estate,169538.4,17,1,14128.2,6,0.682,2,0,1,2
CLT0236,North Korea,High,1,Real Estate,244695.88,12,74,275.56,9,0.411,0,0,0,2
CLT0237,Canada,Low,0,Energy,48188.01,25,91,44.13,11,0.147,0,1,1,0
CLT0238,South Africa,Medium,0,Energy,10493.07,13,54,16.19,4,0.158,1,0,1,0
CLT0239,South Africa,Medium,0,Trading,5441.92,24,72,6.3,4,0.171,0,0,1,0
CLT0240,Nigeria,High,0,Finance,33483.96,11,3,930.11,6,0.336,0,1,1,1
CLT0241,Sweden,Low,0,Energy,333002.23,13,83,334.34,6,0.164,2,2,1,1
CLT0242,Panama,High,0,Trading,243552.6,13,64,317.13,3,0.35,2,1,1,2
CLT0243,Panama,High,0,Healthcare,87954.15,6,51,143.72,14,0.358,2,1,1,2
CLT0244,Myanmar,High,0,Real Estate,107292.92,26,2,4470.54,1,0.13,0,2,1,1
CLT0245,India,Medium,0,Energy,48764.77,22,49,82.93,3,0.225,1,0,0,1
CLT0246,Nigeria,High,0,Legal,29079.16,6,31,78.17,8,0.2,0,0,1,1
CLT0247,North Korea,High,0,Technology,19785.9,20,74,22.28,8,0.246,1,0,1,1
CLT0248,Cayman Islands,High,0,Trading,6586.81,21,80,6.86,6,0.129,0,0,0,1
CLT0249,North Korea,High,0,Real Estate,887078.47,10,84,880.04,7,0.175,0,1,1,2
CLT0250,USA,Low,0,Energy,77395.31,19,3,2149.87,2,0.136,2,0,1,0
CLT0251,Hong Kong,Medium,0,Retail,30831.81,3,35,73.41,9,0.291,1,0,1,0
CLT0252,UK,Low,0,Trading,919651.25,26,98,782.02,3,0.235,3,0,1,1
CLT0253,Venezuela,High,1,Finance,1224414.89,7,85,1200.41,2,0.538,0,0,0,2
CLT0254,China,Medium,0,Energy,3677477.19,5,36,8512.68,5,0.523,0,0,1,1
CLT0255,Cayman Islands,High,0,Trading,41254.23,8,64,53.72,1,0.29,2,0,1,2
CLT0256,Nigeria,High,0,Energy,70111.78,5,32,182.58,5,0.422,0,1,1,1
CLT0257,British Virgin Islands,High,1,Mining,158964.13,12,18,735.95,10,0.338,2,1,1,2
CLT0258,Luxembourg,Low,0,Technology,724529.46,4,34,1775.81,4,0.126,1,1,1,1
CLT0259,Venezuela,High,0,Construction,65711.86,30,56,97.79,12,0.209,2,1,0,2
CLT0260,Turkey,Medium,0,Construction,13697.49,19,67,17.04,6,0.252,0,2,0,1
CLT0261,British Virgin Islands,High,0,Mining,19340.0,28,53,30.41,12,0.317,1,0,1,2
CLT0262,Afghanistan,High,0,Trading,350160.6,18,67,435.52,5,0.259,0,2,0,2
CLT0263,Venezuela,High,0,Finance,151987.38,3,91,139.18,9,0.388,3,0,1,2
CLT0264,North Korea,High,1,Energy,46195.37,7,66,58.33,5,0.151,0,0,1,1
CLT0265,India,Medium,0,Trading,41855.56,8,64,54.5,13,0.571,0,1,1,2
CLT0266,Iran,High,0,Retail,46198.46,15,67,57.46,8,0.345,0,0,1,0
CLT0267,Mexico,Medium,1,Finance,384061.72,21,81,395.13,12,0.41,1,0,0,2
CLT0268,North Korea,High,0,Retail,18335.06,27,39,39.18,13,0.072,1,0,1,1
CLT0269,France,Low,0,Mining,9700.02,17,38,21.27,2,0.334,0,0,1,0
CLT0270,UAE,Medium,0,Legal,913659.42,19,40,1903.46,3,0.58,1,1,1,1
CLT0271,Saudi Arabia,Medium,0,Construction,62167.13,4,19,272.66,3,0.157,1,0,1,0
CLT0272,Afghanistan,High,0,Construction,53157.09,16,83,53.37,3,0.319,0,1,0,1
CLT0273,France,Low,0,Energy,163814.21,26,5,2730.24,6,0.287,0,0,1,0
CLT0274,Turkey,Medium,0,Technology,13583.82,13,69,16.41,7,0.252,0,0,1,0
CLT0275,Iran,High,0,Mining,184562.6,29,14,1098.59,7,0.266,2,0,1,2
CLT0276,South Africa,Medium,0,Trading,33722.12,12,91,30.88,12,0.092,2,1,1,2
CLT0277,Mexico,Medium,0,Mining,324003.24,4,49,551.03,7,0.377,0,2,0,2
CLT0278,Germany,Low,0,Trading,5999.3,12,64,7.81,12,0.162,0,0,0,0
CLT0279,Panama,High,0,Mining,117712.36,17,57,172.09,3,0.374,0,2,1,2
CLT0280,Germany,Low,0,Legal,42325.76,26,35,100.78,1,0.449,0,1,1,0
CLT0281,Russia,High,0,Healthcare,20806.8,9,85,20.4,6,0.173,0,0,1,0
CLT0282,China,Medium,1,Technology,190425.6,12,5,3173.76,3,0.306,0,0,1,0
CLT0283,North Korea,High,0,Trading,47930.97,26,88,45.39,13,0.669,0,1,1,2
CLT0284,Norway,Low,0,Technology,120453.52,15,39,257.38,3,0.317,0,0,1,0
CLT0285,British Virgin Islands,High,0,Finance,399739.31,20,24,1387.98,3,0.257,0,0,1,1
CLT0286,Russia,High,0,Mining,196269.4,2,40,408.89,9,0.193,0,0,1,2
CLT0287,Venezuela,High,0,Energy,11842.42,29,50,19.74,12,0.281,0,0,1,0
CLT0288,Saudi Arabia,Medium,0,Real Estate,26565.82,9,77,28.75,4,0.09,1,0,0,1
CLT0289,Turkey,Medium,0,Finance,119245.18,14,58,171.33,5,0.316,0,1,0,0
CLT0290,Australia,Low,0,Retail,196971.7,4,1,16414.31,3,0.273,0,1,0,0
